observation_date,LRUNTTTTCAQ156N
1955-01-01,7.4333330000000002
1955-04-01,4.4000000000000004
1955-07-01,2.5666669999999998
1955-10-01,3.2333330000000000
1956-01-01,5.7999999999999998
1956-04-01,3.3333330000000001
1956-07-01,1.9333330000000000
1956-10-01,2.6666669999999999
1957-01-01,6.0999999999999996
1957-04-01,4.0333329999999998
1957-07-01,3.1666669999999999
1957-10-01,5.2999999999999998
1958-01-01,10.1333300000000008
1958-04-01,6.9666670000000002
1958-07-01,4.8333330000000005
1958-10-01,6.3333330000000005
1959-01-01,9.3000000000000007
1959-04-01,5.7333330000000000
1959-07-01,3.7666670000000000
1959-10-01,5.1666669999999995
1960-01-01,9.3666669999999996
1960-04-01,6.7000000000000002
1960-07-01,5.0999999999999996
1960-10-01,6.7999999999999998
1961-01-01,11.0000000000000000
1961-04-01,7.3666669999999996
1961-07-01,4.9000000000000004
1961-10-01,5.4666670000000002
1962-01-01,8.7666660000000007
1962-04-01,5.6333330000000004
1962-07-01,4.1666669999999995
1962-10-01,5.2666670000000000
1963-01-01,8.3666669999999996
1963-04-01,5.5666669999999998
1963-07-01,3.9333330000000002
1963-10-01,4.4666670000000002
1964-01-01,6.9000000000000004
1964-04-01,4.7000000000000002
1964-07-01,3.3999999999999999
1964-10-01,3.8333330000000001
1965-01-01,5.7666670000000000
1965-04-01,4.1666669999999995
1965-07-01,2.8666669999999996
1965-10-01,3.0000000000000000
1966-01-01,4.2333330000000000
1966-04-01,3.2000000000000002
1966-07-01,3.0000000000000000
1966-10-01,3.0666669999999998
1967-01-01,4.5999999999999996
1967-04-01,3.7999999999999998
1967-07-01,3.2000000000000002
1967-10-01,3.7333330000000000
1968-01-01,5.4333330000000002
1968-04-01,4.6333330000000004
1968-07-01,4.0333329999999998
1968-10-01,4.0000000000000000
1969-01-01,5.0999999999999996
1969-04-01,4.4666670000000002
1969-07-01,3.8999999999999999
1969-10-01,4.2333330000000000
1970-01-01,5.7000000000000002
1970-04-01,5.8333330000000005
1970-07-01,5.5000000000000000
1970-10-01,5.6666669999999995
1971-01-01,7.2333330000000000
1971-04-01,6.3333330000000005
1971-07-01,5.5000000000000000
1971-10-01,5.7333330000000000
1972-01-01,6.9333330000000002
1972-04-01,6.0999999999999996
1972-07-01,5.8333330000000005
1972-10-01,6.0666669999999998
1973-01-01,6.7666670000000000
1973-04-01,5.3666669999999996
1973-07-01,5.0000000000000000
1973-10-01,5.1333330000000004
1974-01-01,6.0999999999999996
1974-04-01,5.1333330000000004
1974-07-01,4.8666669999999996
1974-10-01,5.2333330000000000
1975-01-01,7.7000000000000002
1975-04-01,6.8666669999999996
1975-07-01,6.5000000000000000
1975-10-01,6.5999999999999996
1976-01-01,7.9000000000000004
1976-04-01,6.9666670000000002
1976-07-01,6.6333330000000004
1976-10-01,6.8333330000000005
1977-01-01,8.8000000000000007
1977-04-01,7.9666670000000002
1977-07-01,7.5999999999999996
1977-10-01,7.8666669999999996
1978-01-01,9.4666660000000000
1978-04-01,8.5999999999999996
1978-07-01,7.8333329999999997
1978-10-01,7.6333330000000004
1979-01-01,9.0666670000000007
1979-04-01,7.7333330000000000
1979-07-01,6.5999999999999996
1979-10-01,6.7999999999999998
1980-01-01,8.5000000000000000
1980-04-01,7.8666669999999996
1980-07-01,6.9666670000000002
1980-10-01,6.8666669999999996
1981-01-01,8.3000000000000007
1981-04-01,7.2999999999999998
1981-07-01,6.9333330000000002
1981-10-01,8.0000000000000000
1982-01-01,9.9333329999999993
1982-04-01,10.5333299999999994
1982-07-01,11.3000000000000007
1982-10-01,12.3666699999999992
1983-01-01,13.9000000000000004
1983-04-01,12.5666700000000002
1983-07-01,10.9666700000000006
1983-10-01,10.6999999999999993
1984-01-01,12.3666699999999992
1984-04-01,11.5666700000000002
1984-07-01,10.6333300000000008
1984-10-01,10.8333300000000001
1985-01-01,11.9000000000000004
1985-04-01,10.7333300000000005
1985-07-01,9.6666670000000003
1985-10-01,9.7666660000000007
1986-01-01,10.8333300000000001
1986-04-01,9.6333330000000004
1986-07-01,8.9666660000000000
1986-10-01,8.9666660000000000
1987-01-01,10.4666700000000006
1987-04-01,9.0333340000000000
1987-07-01,8.0999999999999996
1987-10-01,7.7333330000000000
1988-01-01,8.6999999999999993
1988-04-01,7.7000000000000002
1988-07-01,7.4666670000000002
1988-10-01,7.2000000000000002
1989-01-01,8.4000000000000004
1989-04-01,7.6666670000000003
1989-07-01,7.0666669999999998
1989-10-01,7.1333330000000004
1990-01-01,8.4666660000000000
1990-04-01,7.6333330000000004
1990-07-01,7.7666670000000000
1990-10-01,8.7333339999999993
1991-01-01,11.1666699999999999
1991-04-01,10.3666699999999992
1991-07-01,9.9000000000000004
1991-10-01,9.8666669999999996
1992-01-01,11.6333300000000008
1992-04-01,11.0666700000000002
1992-07-01,10.9333299999999998
1992-10-01,11.1333300000000008
1993-01-01,12.1333300000000008
1993-04-01,11.6666699999999999
1993-07-01,11.0666700000000002
1993-10-01,10.7333300000000005
1994-01-01,11.9666700000000006
1994-04-01,10.6999999999999993
1994-07-01,9.8000000000000007
1994-10-01,9.1999999999999993
1995-01-01,10.4666700000000006
1995-04-01,9.5666670000000007
1995-07-01,9.2333339999999993
1995-10-01,8.7666660000000007
1996-01-01,10.2666699999999995
1996-04-01,9.4666660000000000
1996-07-01,9.3666669999999996
1996-10-01,9.3333329999999997
1997-01-01,10.1999999999999993
1997-04-01,9.3666669999999996
1997-07-01,8.6666670000000003
1997-10-01,8.2333339999999993
1998-01-01,9.2333339999999993
1998-04-01,8.3333329999999997
1998-07-01,7.9666670000000002
1998-10-01,7.5999999999999996
1999-01-01,8.5000000000000000
1999-04-01,7.9666670000000002
1999-07-01,7.4000000000000004
1999-10-01,6.5000000000000000
2000-01-01,7.2999999999999998
2000-04-01,6.7000000000000002
2000-07-01,6.8333330000000005
2000-10-01,6.4333330000000002
2001-01-01,7.5333329999999998
2001-04-01,7.0666669999999998
2001-07-01,7.1333330000000004
2001-10-01,7.1333330000000004
2002-01-01,8.5333340000000000
2002-04-01,7.6666670000000003
2002-07-01,7.4666670000000002
2002-10-01,7.0333329999999998
2003-01-01,7.9333330000000002
2003-04-01,7.6666670000000003
2003-07-01,7.7333330000000000
2003-10-01,6.9666670000000002
2004-01-01,7.8333329999999997
2004-04-01,7.1666669999999995
2004-07-01,7.0999999999999996
2004-10-01,6.6666669999999995
2005-01-01,7.4333330000000002
2005-04-01,6.7666670000000000
2005-07-01,6.7666670000000000
2005-10-01,6.0666669999999998
2006-01-01,7.0333329999999998
2006-04-01,6.2333330000000000
2006-07-01,6.6333330000000004
2006-10-01,5.9666670000000002
2007-01-01,6.7333330000000000
2007-04-01,6.1333330000000004
2007-07-01,6.0999999999999996
2007-10-01,5.7000000000000002
2008-01-01,6.5333329999999998
2008-04-01,6.1333330000000004
2008-07-01,6.2666670000000000
2008-10-01,6.2333330000000000
2009-01-01,8.5333340000000000
2009-04-01,8.5999999999999996
2009-07-01,8.6666670000000003
2009-10-01,8.0000000000000000
2010-01-01,8.8666669999999996
2010-04-01,8.1666670000000003
2010-07-01,8.3000000000000007
2010-10-01,7.3666669999999996
2011-01-01,8.3000000000000007
2011-04-01,7.7000000000000002
2011-07-01,7.5333329999999998
2011-10-01,7.0000000000000000
2012-01-01,7.9666670000000002
2012-04-01,7.4333330000000002
2012-07-01,7.4333330000000002
2012-10-01,6.7666670000000000
2013-01-01,7.5999999999999996
2013-04-01,7.0999999999999996
2013-07-01,7.2333330000000000
2013-10-01,6.6666669999999995
2014-01-01,7.6333330000000004
2014-04-01,7.2000000000000002
2014-07-01,7.0666669999999998
2014-10-01,6.2333330000000000
2015-01-01,7.2999999999999998
2015-04-01,6.9000000000000004
2015-07-01,7.0333329999999998
2015-10-01,6.5333329999999998
2016-01-01,7.7333330000000000
2016-04-01,7.0000000000000000
2016-07-01,7.0333329999999998
2016-10-01,6.3333330000000005
2017-01-01,7.1333330000000004
2017-04-01,6.5000000000000000
2017-07-01,6.4000000000000004
2017-10-01,5.6666669999999995
2018-01-01,6.2999999999999998
2018-04-01,5.8666669999999996
2018-07-01,6.0000000000000000
2018-10-01,5.2000000000000002
2019-01-01,6.2000000000000002
2019-04-01,5.5666669999999998
2019-07-01,5.8333330000000005
2019-10-01,5.1666669999999995
2020-01-01,6.9333330000000002
2020-04-01,13.4000000000000004
2020-07-01,10.3000000000000007
2020-10-01,8.1333330000000004
2021-01-01,8.9666660000000000
2021-04-01,8.0666670000000007
2021-07-01,7.4333330000000002
2021-10-01,5.7000000000000002
2022-01-01,6.1333330000000004
2022-04-01,5.0999999999999996
2022-07-01,5.3333330000000005
2022-10-01,4.6333330000000004
2023-01-01,5.4000000000000004
2023-04-01,5.2000000000000002
2023-07-01,5.7999999999999998
2023-10-01,5.2999999999999998
2024-01-01,6.1666669999999995
2024-04-01,6.2333330000000000
2024-07-01,6.7666670000000000
2024-10-01,6.2000000000000002
